Time (s),A-output,B-output
1.880000,0.025028,0.004551
1.885000,0.019365,-0.001222
1.890000,0.024592,0.009176
1.895000,0.020636,0.016536
1.900000,0.005569,0.011348
1.905000,0.002291,0.004267
1.910000,0.008776,0.000870
1.915000,0.002992,-0.010872
1.920000,-0.000307,-0.020802
1.925000,0.010374,-0.000967
1.930000,0.004853,0.002175
1.935000,-0.018521,-0.014458
1.940000,-0.012874,-0.004748
1.945000,-0.007013,0.004809
1.950000,-0.021550,-0.010474
1.955000,-0.018476,-0.010040
1.960000,-0.006530,-0.007063
1.965000,-0.017939,-0.019953
1.970000,-0.024366,-0.004859
1.975000,-0.015803,0.012868
1.980000,-0.027018,0.002225
1.985000,-0.028946,-0.012502
1.990000,-0.021237,-0.013890
1.995000,-0.024547,-0.021467
2.000000,-0.018911,-0.021845
2.005000,-0.010294,-0.018777
2.010000,-0.020591,-0.008001
2.015000,-0.015525,0.018994
2.020000,-0.014152,0.018497
2.025000,-0.023714,0.001001
2.030000,-0.001097,0.000272
2.035000,0.001844,-0.003832
2.040000,-0.008886,-0.012196
2.045000,0.008657,-0.008486
2.050000,0.006160,-0.011787
2.055000,0.001929,-0.014678
2.060000,0.017799,-0.009982
2.065000,0.009336,-0.012457
2.070000,0.010939,-0.014604
2.075000,0.020762,-0.014494
2.080000,0.017932,-0.009167
2.085000,0.025933,0.006996
2.090000,0.014449,0.007702
2.095000,0.004651,-0.005583
2.100000,0.020174,-0.009532
2.105000,0.018174,-0.006851
2.110000,0.015640,0.013358
2.115000,0.013002,0.018954
2.120000,-0.004034,0.006925
2.125000,0.009121,0.012050
2.130000,0.013786,0.008949
2.135000,0.001932,0.014992
2.140000,0.000540,0.024371
2.145000,-0.011333,0.018738
2.150000,0.003187,0.024341
2.155000,0.003795,0.028228
2.160000,-0.017232,0.025591
2.165000,-0.016382,0.017210
2.170000,-0.012283,0.012783
2.175000,-0.001080,0.024823
2.180000,-0.014167,0.027107
2.185000,-0.027372,0.027687
2.190000,-0.027143,0.020058
2.195000,-0.030737,0.012782
2.200000,-0.020351,0.002587
2.205000,-0.029703,-0.014290
2.210000,-0.020191,-0.008649
2.215000,-0.010835,-0.010189
2.220000,-0.021229,-0.004865
2.225000,-0.012979,0.002308
2.230000,-0.020711,0.000780
2.235000,-0.022545,-0.001077
2.240000,-0.017851,-0.008159
2.245000,-0.010912,-0.012218
2.250000,-0.010619,-0.013893
2.255000,-0.005728,-0.009832
2.260000,-0.001133,-0.006510
2.265000,0.001122,-0.000511
2.270000,0.009802,0.001528
2.275000,-0.004992,-0.002362
2.280000,-0.000388,-0.001730
2.285000,0.010290,-0.009544
2.290000,0.018099,-0.024780
2.295000,0.023600,-0.027448
2.300000,0.022036,-0.018583
2.305000,0.020736,-0.005102
2.310000,0.023590,0.003739
2.315000,0.018507,0.004770
2.320000,0.004847,0.009407
2.325000,0.006097,0.011647
2.330000,0.000248,0.009522
2.335000,0.003411,0.006514
2.340000,0.007093,0.006827
2.345000,0.007932,0.003760
2.350000,0.005212,0.001769
2.355000,0.007327,-0.005236
2.360000,0.004584,-0.012708
2.365000,0.004843,-0.014182
2.370000,0.006655,-0.012982
2.375000,0.001251,-0.005517
2.380000,0.008132,-0.001486
2.385000,0.000268,0.005238
2.390000,-0.011441,0.006740
2.395000,-0.017032,0.009951
2.400000,-0.016070,0.007615
2.405000,-0.023773,0.003253
2.410000,-0.020101,0.003430
2.415000,-0.020555,0.002849
2.420000,-0.016730,-0.004898
2.425000,-0.007845,-0.007251
2.430000,-0.007055,-0.008713
2.435000,-0.008100,-0.007084
2.440000,-0.005566,-0.004616
2.445000,-0.011035,-0.009109
2.450000,-0.010237,-0.004030
2.455000,0.001705,0.001550
2.460000,-0.004055,-0.004675
2.465000,-0.004962,-0.005566
2.470000,0.002162,0.006132
